seed,fresh,bidder,decl,bid,phone_points,candidate_declaring_points,against_candidate_defending_points,wins,losses,ties,fallbacks
620600,True,0,2,30,25,30,30,1,1,0,0
620601,True,1,4,30,35,41,42,0,0,2,0
620602,True,2,0,30,30,24,19,1,1,0,1
620603,True,0,0,30,36,23,35,0,1,1,0
620604,True,0,3,30,42,29,42,0,1,1,0
620605,True,1,2,30,13,8,3,0,0,2,0
620606,True,3,2,30,41,41,41,0,0,2,0
620607,True,0,6,30,20,42,36,1,1,0,0
620608,True,0,5,30,42,30,42,0,0,2,0
620609,True,2,0,30,29,29,30,0,1,1,0
620610,True,0,0,30,36,29,41,0,1,1,0
620611,True,2,1,30,30,24,30,0,1,1,2
620612,True,2,3,30,19,20,19,0,0,2,0
620613,True,1,4,30,36,28,42,0,1,1,0
620614,True,3,6,30,34,34,34,0,0,2,0
620615,True,1,5,30,41,36,41,0,0,2,2
620616,True,1,2,30,42,42,42,0,0,2,0
620617,True,0,6,30,20,42,25,1,0,1,0
620618,True,2,6,30,24,23,24,0,0,2,0
620619,True,0,3,30,35,42,41,0,0,2,0
620620,True,2,5,30,41,41,41,0,0,2,2
620621,True,1,5,30,25,25,19,0,0,2,0
620622,True,3,1,30,31,30,26,1,0,1,0
620623,True,2,1,30,13,4,34,0,1,1,0
620624,True,2,3,30,30,25,20,1,1,0,0
620625,True,1,1,30,19,24,20,0,0,2,0
620626,True,0,4,30,26,26,21,0,0,2,2
620627,True,1,4,30,42,24,42,0,1,1,2
620628,True,0,2,30,42,31,31,0,0,2,0
620629,True,0,3,30,34,33,30,0,0,2,0
620630,True,3,0,30,26,12,31,0,1,1,0
620631,True,2,1,30,41,36,30,0,0,2,2
620632,True,0,0,30,30,30,34,0,0,2,0
620633,True,2,0,30,31,31,30,0,0,2,0
620634,True,2,6,30,42,41,42,0,0,2,0
620635,True,1,6,30,42,31,41,0,0,2,0
620636,True,0,3,30,24,40,24,1,0,1,0
620637,True,1,4,30,20,9,20,0,0,2,0
620638,True,1,0,30,18,28,18,0,0,2,0
620639,True,1,6,30,42,42,42,0,0,2,0
620640,True,2,0,30,41,31,42,0,0,2,0
620641,True,0,2,30,14,14,14,0,0,2,0
620642,True,1,3,30,35,41,40,0,0,2,0
620643,True,0,4,30,31,31,31,0,0,2,0
620644,True,1,3,30,25,25,25,0,0,2,0
620645,True,3,0,30,15,23,31,0,1,1,2
620646,True,1,6,30,35,41,36,0,0,2,0
620647,True,3,6,30,41,34,41,0,0,2,0
620648,True,0,3,30,26,30,31,1,1,0,0
620649,True,2,0,30,39,36,40,0,0,2,0
