seed,fresh,bidder,decl,bid,phone_points,candidate_declaring_points,against_candidate_defending_points,wins,losses,ties,fallbacks
520600,True,0,1,30,25,42,25,1,0,1,0
520601,True,0,1,30,39,29,30,0,1,1,0
520602,True,0,1,30,35,36,36,0,0,2,0
520603,True,0,1,30,35,24,40,0,1,1,0
520604,True,0,1,30,24,29,19,0,0,2,0
520605,True,0,1,30,35,35,35,0,0,2,0
520606,True,0,1,30,19,19,30,0,1,1,0
520607,True,0,1,30,24,14,34,0,1,1,0
520608,True,0,1,30,24,19,34,0,1,1,0
520609,True,0,1,30,36,30,30,0,0,2,0
520610,True,1,3,30,42,35,42,0,0,2,0
520611,True,1,3,30,23,29,23,0,0,2,0
520612,True,1,3,30,35,35,35,0,0,2,0
520613,True,1,3,30,18,28,34,0,1,1,0
520614,True,1,3,30,22,18,17,0,0,2,0
520615,True,1,3,30,30,30,13,1,0,1,0
520616,True,1,3,30,41,41,35,0,0,2,0
520617,True,1,3,30,36,35,31,0,0,2,0
520618,True,1,3,30,30,30,42,0,0,2,0
520619,True,1,3,30,31,17,41,0,1,1,0
520620,True,2,5,30,41,23,30,0,1,1,0
520621,True,2,5,30,41,31,35,0,0,2,0
520622,True,2,5,30,41,42,30,0,0,2,0
520623,True,2,5,30,33,22,18,1,1,0,1
520624,True,2,5,30,31,20,31,0,1,1,0
520625,True,2,5,30,24,35,30,1,1,0,0
520626,True,2,5,30,35,34,35,0,0,2,0
520627,True,2,5,30,41,40,34,0,0,2,0
520628,True,2,5,30,41,41,41,0,0,2,0
520629,True,2,5,30,36,24,25,1,1,0,0
520630,True,3,3,30,31,30,31,0,0,2,0
520631,True,3,3,30,42,42,20,1,0,1,0
520632,True,3,3,30,42,42,42,0,0,2,0
520633,True,3,3,30,8,12,2,0,0,2,2
520634,True,3,3,30,29,29,9,0,0,2,0
520635,True,3,3,30,25,20,20,0,0,2,0
520636,True,3,3,30,41,41,31,0,0,2,0
520637,True,3,3,30,20,26,41,0,1,1,0
520638,True,3,3,30,40,28,40,0,1,1,0
520639,True,3,3,30,13,8,24,0,0,2,0
520640,True,0,2,30,42,41,42,0,0,2,2
520641,True,0,2,30,22,12,29,0,0,2,0
520642,True,0,2,30,41,30,26,1,0,1,0
520643,True,0,2,30,18,31,41,1,1,0,0
520644,True,0,2,30,29,28,29,0,0,2,0
520645,True,0,2,30,29,36,35,1,1,0,0
520646,True,0,2,30,24,34,22,1,0,1,0
520647,True,0,2,30,28,35,28,1,0,1,0
520648,True,0,2,30,41,34,29,1,0,1,0
520649,True,0,2,30,13,7,24,0,0,2,0
520650,True,1,1,30,35,41,41,0,0,2,0
520651,True,1,1,30,18,9,18,0,0,2,0
520652,True,1,1,30,42,42,42,0,0,2,0
520653,True,1,1,30,19,42,35,1,1,0,0
520654,True,1,1,30,36,36,31,0,0,2,0
520655,True,1,1,30,25,14,24,0,0,2,0
520656,True,1,1,30,35,40,35,0,0,2,0
520657,True,1,1,30,8,19,8,0,0,2,0
520658,True,1,1,30,19,14,25,0,0,2,0
520659,True,1,1,30,30,34,35,0,0,2,0
520660,True,2,3,30,42,31,42,0,0,2,0
520661,True,2,3,30,42,42,31,0,0,2,0
520662,True,2,3,30,41,30,41,0,0,2,0
520663,True,2,3,30,42,31,42,0,0,2,0
520664,True,2,3,30,36,42,42,0,0,2,0
520665,True,2,3,30,42,42,41,0,0,2,0
520666,True,2,3,30,31,42,42,0,0,2,2
520667,True,2,3,30,20,42,41,1,1,0,0
520668,True,2,3,30,42,42,42,0,0,2,0
520669,True,2,3,30,41,31,31,0,0,2,0
520670,True,3,0,30,41,20,41,0,1,1,0
520671,True,3,0,30,31,14,8,1,1,0,0
520672,True,3,0,30,41,41,41,0,0,2,0
520673,True,3,0,30,42,42,42,0,0,2,0
520674,True,3,0,30,18,24,34,0,1,1,0
520675,True,3,0,30,18,24,35,0,1,1,0
520676,True,3,0,30,8,8,19,0,0,2,0
520677,True,3,0,30,26,31,26,1,0,1,0
520678,True,3,0,30,19,22,12,0,0,2,0
520679,True,3,0,30,20,20,20,0,0,2,0
520680,True,0,4,30,30,19,24,1,1,0,0
520681,True,0,4,30,42,25,36,0,1,1,0
520682,True,0,4,30,33,40,24,1,0,1,0
520683,True,0,4,30,25,36,19,1,0,1,0
520684,True,0,4,30,18,12,23,0,0,2,0
520685,True,0,4,30,36,19,31,0,1,1,0
520686,True,0,4,30,17,29,29,0,0,2,0
520687,True,0,4,30,34,33,24,1,0,1,0
520688,True,0,4,30,19,20,23,0,0,2,0
520689,True,0,4,30,28,39,41,1,1,0,0
520690,True,1,0,30,31,10,30,0,1,1,0
520691,True,1,0,30,19,19,24,0,0,2,0
520692,True,1,0,30,41,42,42,0,0,2,0
520693,True,1,0,30,26,26,26,0,0,2,0
520694,True,1,0,30,24,15,24,0,0,2,0
520695,True,1,0,30,9,25,9,0,0,2,0
520696,True,1,0,30,42,42,31,0,0,2,0
520697,True,1,0,30,42,42,42,0,0,2,0
520698,True,1,0,30,19,19,4,0,0,2,0
520699,True,1,0,30,31,31,42,0,0,2,0
